layer,explained_var
0,0.49298709630966187
1,0.5085006356239319
2,0.46557337045669556
3,0.44431567192077637
4,0.44805705547332764
5,0.4746556282043457
6,0.48851674795150757
7,0.4929085373878479
8,0.4916442334651947
9,0.5069817304611206
10,0.5172075033187866
11,0.518316388130188
12,0.525176465511322
13,0.5289850831031799
14,0.5415928959846497
15,0.5603843927383423
16,0.5532596111297607
17,0.5545557737350464
18,0.567949652671814
19,0.5703447461128235
20,0.5587784051895142
21,0.5479720830917358
22,0.5216214656829834
23,0.4993969202041626
24,0.4924143850803375
25,0.48723357915878296
26,0.5326272249221802
27,0.7173624038696289
